,date,google_trends_btc
400,2017-02-04,4
401,2017-02-05,4
402,2017-02-06,4
403,2017-02-07,4
404,2017-02-08,4
405,2017-02-09,4
406,2017-02-10,4
407,2017-02-11,4
408,2017-02-12,4
409,2017-02-13,4
410,2017-02-14,4
411,2017-02-15,4
412,2017-02-16,4
413,2017-02-17,4
414,2017-02-18,4
415,2017-02-19,5
416,2017-02-20,5
417,2017-02-21,5
418,2017-02-22,5
419,2017-02-23,5
420,2017-02-24,5
421,2017-02-25,5
422,2017-02-26,5
423,2017-02-27,5
424,2017-02-28,5
425,2017-03-01,5
426,2017-03-02,5
427,2017-03-03,5
428,2017-03-04,5
429,2017-03-05,6
430,2017-03-06,6
431,2017-03-07,6
432,2017-03-08,6
433,2017-03-09,6
434,2017-03-10,6
435,2017-03-11,6
436,2017-03-12,5
437,2017-03-13,5
438,2017-03-14,5
439,2017-03-15,5
440,2017-03-16,5
441,2017-03-17,5
442,2017-03-18,5
443,2017-03-19,5
444,2017-03-20,5
445,2017-03-21,5
446,2017-03-22,5
447,2017-03-23,5
448,2017-03-24,5
449,2017-03-25,5
450,2017-03-26,5
451,2017-03-27,5
452,2017-03-28,5
453,2017-03-29,5
454,2017-03-30,5
455,2017-03-31,5
456,2017-04-01,5
457,2017-04-02,5
458,2017-04-03,5
459,2017-04-04,5
460,2017-04-05,5
461,2017-04-06,5
462,2017-04-07,5
463,2017-04-08,5
464,2017-04-09,4
465,2017-04-10,4
466,2017-04-11,4
467,2017-04-12,4
468,2017-04-13,4
469,2017-04-14,4
470,2017-04-15,4
471,2017-04-16,4
472,2017-04-17,4
473,2017-04-18,4
474,2017-04-19,4
475,2017-04-20,4
476,2017-04-21,4
477,2017-04-22,4
478,2017-04-23,5
479,2017-04-24,5
480,2017-04-25,5
481,2017-04-26,5
482,2017-04-27,5
483,2017-04-28,5
484,2017-04-29,5
485,2017-04-30,7
486,2017-05-01,7
487,2017-05-02,7
488,2017-05-03,7
489,2017-05-04,7
490,2017-05-05,7
491,2017-05-06,7
492,2017-05-07,9
493,2017-05-08,9
494,2017-05-09,9
495,2017-05-10,9
496,2017-05-11,9
497,2017-05-12,9
498,2017-05-13,9
499,2017-05-14,11
500,2017-05-15,11
501,2017-05-16,11
502,2017-05-17,11
503,2017-05-18,11
504,2017-05-19,11
505,2017-05-20,11
506,2017-05-21,19
507,2017-05-22,19
508,2017-05-23,19
509,2017-05-24,19
510,2017-05-25,19
511,2017-05-26,19
512,2017-05-27,19
513,2017-05-28,12
514,2017-05-29,12
515,2017-05-30,12
516,2017-05-31,12
517,2017-06-01,12
518,2017-06-02,12
519,2017-06-03,12
520,2017-06-04,12
521,2017-06-05,12
522,2017-06-06,12
523,2017-06-07,12
524,2017-06-08,12
525,2017-06-09,12
526,2017-06-10,12
527,2017-06-11,13
528,2017-06-12,13
529,2017-06-13,13
530,2017-06-14,13
531,2017-06-15,13
532,2017-06-16,13
533,2017-06-17,13
534,2017-06-18,10
535,2017-06-19,10
536,2017-06-20,10
537,2017-06-21,10
538,2017-06-22,10
539,2017-06-23,10
540,2017-06-24,10
541,2017-06-25,11
542,2017-06-26,11
543,2017-06-27,11
544,2017-06-28,11
545,2017-06-29,11
546,2017-06-30,11
547,2017-07-01,11
548,2017-07-02,9
549,2017-07-03,9
550,2017-07-04,9
551,2017-07-05,9
552,2017-07-06,9
553,2017-07-07,9
554,2017-07-08,9
555,2017-07-09,10
556,2017-07-10,10
557,2017-07-11,10
558,2017-07-12,10
559,2017-07-13,10
560,2017-07-14,10
561,2017-07-15,10
562,2017-07-16,11
563,2017-07-17,11
564,2017-07-18,11
565,2017-07-19,11
566,2017-07-20,11
567,2017-07-21,11
568,2017-07-22,11
569,2017-07-23,10
570,2017-07-24,10
571,2017-07-25,10
572,2017-07-26,10
573,2017-07-27,10
574,2017-07-28,10
575,2017-07-29,10
576,2017-07-30,15
577,2017-07-31,15
578,2017-08-01,15
579,2017-08-02,15
580,2017-08-03,15
581,2017-08-04,15
582,2017-08-05,15
583,2017-08-06,14
584,2017-08-07,14
585,2017-08-08,14
586,2017-08-09,14
587,2017-08-10,14
588,2017-08-11,14
589,2017-08-12,14
590,2017-08-13,20
591,2017-08-14,20
592,2017-08-15,20
593,2017-08-16,20
594,2017-08-17,20
595,2017-08-18,20
596,2017-08-19,20
597,2017-08-20,15
598,2017-08-21,15
599,2017-08-22,15
600,2017-08-23,15
601,2017-08-24,15
602,2017-08-25,15
603,2017-08-26,15
604,2017-08-27,16
605,2017-08-28,16
606,2017-08-29,16
607,2017-08-30,16
608,2017-08-31,16
609,2017-09-01,16
610,2017-09-02,16
611,2017-09-03,18
612,2017-09-04,18
613,2017-09-05,18
614,2017-09-06,18
615,2017-09-07,18
616,2017-09-08,18
617,2017-09-09,18
618,2017-09-10,20
619,2017-09-11,20
620,2017-09-12,20
621,2017-09-13,20
622,2017-09-14,20
623,2017-09-15,20
624,2017-09-16,20
625,2017-09-17,15
626,2017-09-18,15
627,2017-09-19,15
628,2017-09-20,15
629,2017-09-21,15
630,2017-09-22,15
631,2017-09-23,15
632,2017-09-24,13
633,2017-09-25,13
634,2017-09-26,13
635,2017-09-27,13
636,2017-09-28,13
637,2017-09-29,13
638,2017-09-30,13
639,2017-10-01,12
640,2017-10-02,12
641,2017-10-03,12
642,2017-10-04,12
643,2017-10-05,12
644,2017-10-06,12
645,2017-10-07,12
646,2017-10-08,18
647,2017-10-09,18
648,2017-10-10,18
649,2017-10-11,18
650,2017-10-12,18
651,2017-10-13,18
652,2017-10-14,18
653,2017-10-15,19
654,2017-10-16,19
655,2017-10-17,19
656,2017-10-18,19
657,2017-10-19,19
658,2017-10-20,19
659,2017-10-21,19
660,2017-10-22,20
661,2017-10-23,20
662,2017-10-24,20
663,2017-10-25,20
664,2017-10-26,20
665,2017-10-27,20
666,2017-10-28,20
667,2017-10-29,26
668,2017-10-30,26
669,2017-10-31,26
670,2017-11-01,26
671,2017-11-02,26
672,2017-11-03,26
673,2017-11-04,26
674,2017-11-05,27
675,2017-11-06,27
676,2017-11-07,27
677,2017-11-08,27
678,2017-11-09,27
679,2017-11-10,27
680,2017-11-11,27
681,2017-11-12,31
682,2017-11-13,31
683,2017-11-14,31
684,2017-11-15,31
685,2017-11-16,31
686,2017-11-17,31
687,2017-11-18,31
688,2017-11-19,27
689,2017-11-20,27
690,2017-11-21,27
691,2017-11-22,27
692,2017-11-23,27
693,2017-11-24,27
694,2017-11-25,27
695,2017-11-26,62
696,2017-11-27,62
697,2017-11-28,62
698,2017-11-29,62
699,2017-11-30,62
700,2017-12-01,62
701,2017-12-02,62
702,2017-12-03,86
703,2017-12-04,86
704,2017-12-05,86
705,2017-12-06,86
706,2017-12-07,86
707,2017-12-08,86
708,2017-12-09,86
709,2017-12-10,85
710,2017-12-11,85
711,2017-12-12,85
712,2017-12-13,85
713,2017-12-14,85
714,2017-12-15,85
715,2017-12-16,85
716,2017-12-17,100
717,2017-12-18,100
718,2017-12-19,100
719,2017-12-20,100
720,2017-12-21,100
721,2017-12-22,100
722,2017-12-23,100
723,2017-12-24,62
724,2017-12-25,62
725,2017-12-26,62
726,2017-12-27,62
727,2017-12-28,62
728,2017-12-29,62
729,2017-12-30,62
730,2017-12-31,46
731,2018-01-01,46
732,2018-01-02,46
733,2018-01-03,46
734,2018-01-04,46
735,2018-01-05,46
736,2018-01-06,46
737,2018-01-07,44
738,2018-01-08,44
739,2018-01-09,44
740,2018-01-10,44
741,2018-01-11,44
742,2018-01-12,44
743,2018-01-13,44
744,2018-01-14,54
745,2018-01-15,54
746,2018-01-16,54
747,2018-01-17,54
748,2018-01-18,54
749,2018-01-19,54
750,2018-01-20,54
751,2018-01-21,37
752,2018-01-22,37
753,2018-01-23,37
754,2018-01-24,37
755,2018-01-25,37
756,2018-01-26,37
757,2018-01-27,37
758,2018-01-28,39
759,2018-01-29,39
760,2018-01-30,39
761,2018-01-31,39
762,2018-02-01,39
763,2018-02-02,39
764,2018-02-03,39
765,2018-02-04,46
766,2018-02-05,46
767,2018-02-06,46
768,2018-02-07,46
769,2018-02-08,46
770,2018-02-09,46
771,2018-02-10,46
772,2018-02-11,26
773,2018-02-12,26
774,2018-02-13,26
775,2018-02-14,26
776,2018-02-15,26
777,2018-02-16,26
778,2018-02-17,26
779,2018-02-18,23
780,2018-02-19,23
781,2018-02-20,23
782,2018-02-21,23
783,2018-02-22,23
784,2018-02-23,23
785,2018-02-24,23
786,2018-02-25,19
787,2018-02-26,19
788,2018-02-27,19
789,2018-02-28,19
790,2018-03-01,19
791,2018-03-02,19
792,2018-03-03,19
793,2018-03-04,19
794,2018-03-05,19
795,2018-03-06,19
796,2018-03-07,19
797,2018-03-08,19
798,2018-03-09,19
799,2018-03-10,19
800,2018-03-11,19
801,2018-03-12,19
802,2018-03-13,19
803,2018-03-14,19
804,2018-03-15,19
805,2018-03-16,19
806,2018-03-17,19
807,2018-03-18,18
808,2018-03-19,18
809,2018-03-20,18
810,2018-03-21,18
811,2018-03-22,18
812,2018-03-23,18
813,2018-03-24,18
814,2018-03-25,17
815,2018-03-26,17
816,2018-03-27,17
817,2018-03-28,17
818,2018-03-29,17
819,2018-03-30,17
820,2018-03-31,17
821,2018-04-01,17
822,2018-04-02,17
823,2018-04-03,17
824,2018-04-04,17
825,2018-04-05,17
826,2018-04-06,17
827,2018-04-07,17
828,2018-04-08,15
829,2018-04-09,15
830,2018-04-10,15
831,2018-04-11,15
832,2018-04-12,15
833,2018-04-13,15
834,2018-04-14,15
835,2018-04-15,14
836,2018-04-16,14
837,2018-04-17,14
838,2018-04-18,14
839,2018-04-19,14
840,2018-04-20,14
841,2018-04-21,14
842,2018-04-22,14
843,2018-04-23,14
844,2018-04-24,14
845,2018-04-25,14
846,2018-04-26,14
847,2018-04-27,14
848,2018-04-28,14
849,2018-04-29,12
850,2018-04-30,12
851,2018-05-01,12
852,2018-05-02,12
853,2018-05-03,12
854,2018-05-04,12
855,2018-05-05,12
856,2018-05-06,12
857,2018-05-07,12
858,2018-05-08,12
859,2018-05-09,12
860,2018-05-10,12
861,2018-05-11,12
862,2018-05-12,12
863,2018-05-13,11
864,2018-05-14,11
865,2018-05-15,11
866,2018-05-16,11
867,2018-05-17,11
868,2018-05-18,11
869,2018-05-19,11
870,2018-05-20,11
871,2018-05-21,11
872,2018-05-22,11
873,2018-05-23,11
874,2018-05-24,11
875,2018-05-25,11
876,2018-05-26,11
877,2018-05-27,10
878,2018-05-28,10
879,2018-05-29,10
880,2018-05-30,10
881,2018-05-31,10
882,2018-06-01,10
883,2018-06-02,10
884,2018-06-03,9
885,2018-06-04,9
886,2018-06-05,9
887,2018-06-06,9
888,2018-06-07,9
889,2018-06-08,9
890,2018-06-09,9
891,2018-06-10,12
892,2018-06-11,12
893,2018-06-12,12
894,2018-06-13,12
895,2018-06-14,12
896,2018-06-15,12
897,2018-06-16,12
898,2018-06-17,10
899,2018-06-18,10
900,2018-06-19,10
901,2018-06-20,10
902,2018-06-21,10
903,2018-06-22,10
904,2018-06-23,10
905,2018-06-24,10
906,2018-06-25,10
907,2018-06-26,10
908,2018-06-27,10
909,2018-06-28,10
910,2018-06-29,10
911,2018-06-30,10
912,2018-07-01,9
913,2018-07-02,9
914,2018-07-03,9
915,2018-07-04,9
916,2018-07-05,9
917,2018-07-06,9
918,2018-07-07,9
919,2018-07-08,9
920,2018-07-09,9
921,2018-07-10,9
922,2018-07-11,9
923,2018-07-12,9
924,2018-07-13,9
925,2018-07-14,9
926,2018-07-15,11
927,2018-07-16,11
928,2018-07-17,11
929,2018-07-18,11
930,2018-07-19,11
931,2018-07-20,11
932,2018-07-21,11
933,2018-07-22,12
934,2018-07-23,12
935,2018-07-24,12
936,2018-07-25,12
937,2018-07-26,12
938,2018-07-27,12
939,2018-07-28,12
940,2018-07-29,10
941,2018-07-30,10
942,2018-07-31,10
943,2018-08-01,10
944,2018-08-02,10
945,2018-08-03,10
946,2018-08-04,10
947,2018-08-05,11
948,2018-08-06,11
949,2018-08-07,11
950,2018-08-08,11
951,2018-08-09,11
952,2018-08-10,11
953,2018-08-11,11
954,2018-08-12,10
955,2018-08-13,10
956,2018-08-14,10
957,2018-08-15,10
958,2018-08-16,10
959,2018-08-17,10
960,2018-08-18,10
961,2018-08-19,9
962,2018-08-20,9
963,2018-08-21,9
964,2018-08-22,9
965,2018-08-23,9
966,2018-08-24,9
967,2018-08-25,9
968,2018-08-26,10
969,2018-08-27,10
970,2018-08-28,10
971,2018-08-29,10
972,2018-08-30,10
973,2018-08-31,10
974,2018-09-01,10
975,2018-09-02,11
976,2018-09-03,11
977,2018-09-04,11
978,2018-09-05,11
979,2018-09-06,11
980,2018-09-07,11
981,2018-09-08,11
982,2018-09-09,9
983,2018-09-10,9
984,2018-09-11,9
985,2018-09-12,9
986,2018-09-13,9
987,2018-09-14,9
988,2018-09-15,9
989,2018-09-16,9
990,2018-09-17,9
991,2018-09-18,9
992,2018-09-19,9
993,2018-09-20,9
994,2018-09-21,9
995,2018-09-22,9
996,2018-09-23,8
997,2018-09-24,8
998,2018-09-25,8
999,2018-09-26,8
1000,2018-09-27,8
1001,2018-09-28,8
1002,2018-09-29,8
1003,2018-09-30,8
1004,2018-10-01,8
1005,2018-10-02,8
1006,2018-10-03,8
1007,2018-10-04,8
1008,2018-10-05,8
1009,2018-10-06,8
1010,2018-10-07,8
1011,2018-10-08,8
1012,2018-10-09,8
1013,2018-10-10,8
1014,2018-10-11,8
1015,2018-10-12,8
1016,2018-10-13,8
1017,2018-10-14,8
1018,2018-10-15,8
1019,2018-10-16,8
1020,2018-10-17,8
1021,2018-10-18,8
1022,2018-10-19,8
1023,2018-10-20,8
1024,2018-10-21,7
1025,2018-10-22,7
1026,2018-10-23,7
1027,2018-10-24,7
1028,2018-10-25,7
1029,2018-10-26,7
1030,2018-10-27,7
1031,2018-10-28,7
1032,2018-10-29,7
1033,2018-10-30,7
1034,2018-10-31,7
1035,2018-11-01,7
1036,2018-11-02,7
1037,2018-11-03,7
1038,2018-11-04,8
1039,2018-11-05,8
1040,2018-11-06,8
1041,2018-11-07,8
1042,2018-11-08,8
1043,2018-11-09,8
1044,2018-11-10,8
1045,2018-11-11,10
1046,2018-11-12,10
1047,2018-11-13,10
1048,2018-11-14,10
1049,2018-11-15,10
1050,2018-11-16,10
1051,2018-11-17,10
1052,2018-11-18,13
1053,2018-11-19,13
1054,2018-11-20,13
1055,2018-11-21,13
1056,2018-11-22,13
1057,2018-11-23,13
1058,2018-11-24,13
1059,2018-11-25,14
1060,2018-11-26,14
1061,2018-11-27,14
1062,2018-11-28,14
1063,2018-11-29,14
1064,2018-11-30,14
1065,2018-12-01,14
1066,2018-12-02,11
1067,2018-12-03,11
1068,2018-12-04,11
1069,2018-12-05,11
1070,2018-12-06,11
1071,2018-12-07,11
1072,2018-12-08,11
1073,2018-12-09,11
1074,2018-12-10,11
1075,2018-12-11,11
1076,2018-12-12,11
1077,2018-12-13,11
1078,2018-12-14,11
1079,2018-12-15,11
1080,2018-12-16,11
1081,2018-12-17,11
1082,2018-12-18,11
1083,2018-12-19,11
1084,2018-12-20,11
1085,2018-12-21,11
1086,2018-12-22,11
1087,2018-12-23,10
1088,2018-12-24,10
1089,2018-12-25,10
1090,2018-12-26,10
1091,2018-12-27,10
1092,2018-12-28,10
1093,2018-12-29,10
1094,2018-12-30,8
1095,2018-12-31,8
1096,2019-01-01,8
1097,2019-01-02,8
1098,2019-01-03,8
1099,2019-01-04,8
1100,2019-01-05,8
1101,2019-01-06,9
1102,2019-01-07,9
1103,2019-01-08,9
1104,2019-01-09,9
1105,2019-01-10,9
1106,2019-01-11,9
1107,2019-01-12,9
1108,2019-01-13,8
1109,2019-01-14,8
1110,2019-01-15,8
1111,2019-01-16,8
1112,2019-01-17,8
1113,2019-01-18,8
1114,2019-01-19,8
1115,2019-01-20,7
1116,2019-01-21,7
1117,2019-01-22,7
1118,2019-01-23,7
1119,2019-01-24,7
1120,2019-01-25,7
1121,2019-01-26,7
1122,2019-01-27,7
1123,2019-01-28,7
1124,2019-01-29,7
1125,2019-01-30,7
1126,2019-01-31,7
1127,2019-02-01,7
1128,2019-02-02,7
1129,2019-02-03,8
1130,2019-02-04,8
1131,2019-02-05,8
1132,2019-02-06,8
1133,2019-02-07,8
1134,2019-02-08,8
1135,2019-02-09,8
1136,2019-02-10,7
1137,2019-02-11,7
1138,2019-02-12,7
1139,2019-02-13,7
1140,2019-02-14,7
1141,2019-02-15,7
1142,2019-02-16,7
1143,2019-02-17,8
1144,2019-02-18,8
1145,2019-02-19,8
1146,2019-02-20,8
1147,2019-02-21,8
1148,2019-02-22,8
1149,2019-02-23,8
1150,2019-02-24,7
1151,2019-02-25,7
1152,2019-02-26,7
1153,2019-02-27,7
1154,2019-02-28,7
1155,2019-03-01,7
1156,2019-03-02,7
1157,2019-03-03,7
1158,2019-03-04,7
1159,2019-03-05,7
1160,2019-03-06,7
1161,2019-03-07,7
1162,2019-03-08,7
1163,2019-03-09,7
1164,2019-03-10,7
1165,2019-03-11,7
1166,2019-03-12,7
1167,2019-03-13,7
1168,2019-03-14,7
1169,2019-03-15,7
1170,2019-03-16,7
1171,2019-03-17,7
1172,2019-03-18,7
1173,2019-03-19,7
1174,2019-03-20,7
1175,2019-03-21,7
1176,2019-03-22,7
1177,2019-03-23,7
1178,2019-03-24,7
1179,2019-03-25,7
1180,2019-03-26,7
1181,2019-03-27,7
1182,2019-03-28,7
1183,2019-03-29,7
1184,2019-03-30,7
1185,2019-03-31,12
1186,2019-04-01,12
1187,2019-04-02,12
1188,2019-04-03,12
1189,2019-04-04,12
1190,2019-04-05,12
1191,2019-04-06,12
1192,2019-04-07,10
1193,2019-04-08,10
1194,2019-04-09,10
1195,2019-04-10,10
1196,2019-04-11,10
1197,2019-04-12,10
1198,2019-04-13,10
1199,2019-04-14,8
1200,2019-04-15,8
1201,2019-04-16,8
1202,2019-04-17,8
1203,2019-04-18,8
1204,2019-04-19,8
1205,2019-04-20,8
1206,2019-04-21,9
1207,2019-04-22,9
1208,2019-04-23,9
1209,2019-04-24,9
1210,2019-04-25,9
1211,2019-04-26,9
1212,2019-04-27,9
1213,2019-04-28,8
1214,2019-04-29,8
1215,2019-04-30,8
1216,2019-05-01,8
1217,2019-05-02,8
1218,2019-05-03,8
1219,2019-05-04,8
1220,2019-05-05,11
1221,2019-05-06,11
1222,2019-05-07,11
1223,2019-05-08,11
1224,2019-05-09,11
1225,2019-05-10,11
1226,2019-05-11,11
1227,2019-05-12,18
1228,2019-05-13,18
1229,2019-05-14,18
1230,2019-05-15,18
1231,2019-05-16,18
1232,2019-05-17,18
1233,2019-05-18,18
1234,2019-05-19,13
1235,2019-05-20,13
1236,2019-05-21,13
1237,2019-05-22,13
1238,2019-05-23,13
1239,2019-05-24,13
1240,2019-05-25,13
1241,2019-05-26,14
1242,2019-05-27,14
1243,2019-05-28,14
1244,2019-05-29,14
1245,2019-05-30,14
1246,2019-05-31,14
1247,2019-06-01,14
